session_id,user_id,word,word_date,attempts,result,time_to_complete_sec,device,session_hour,streak_day,played_next_day,newsletter_open_before_game,active_d30,word_day_num
ab38635a07ede4246661,697e9e150e91bb76,TEMPO,2026-02-08,1,Win,449,Android,20,2,False,False,False,8
67d40a22cba1a16fd2c5,d7f63dda905adaec,FALHA,2026-05-08,6,Lose,232,iOS,19,1,True,False,False,8
3635c5707f62ea022423,6220de621fef79b8,FALHA,2026-04-18,3,Win,65,iOS,7,2,False,False,False,18
27243d4c7b1669f71ba7,3aa2f6a86d7fe06c,PRATO,2025-12-22,6,Lose,404,Android,23,2,False,False,True,22
cd21162dd072f066c160,97af736a7f2aa637,IDEIA,2026-05-28,1,Win,222,Android,6,2,False,True,False,28
d4063251e29a7fa33e79,06db6e4f2c1b23f5,NUVEM,2026-05-25,6,Lose,158,iOS,6,1,False,True,False,25
3d35b151eead0030fbea,3286a93673d5893b,DANÇA,2026-03-01,3,Win,298,Android,19,1,False,False,False,1
bb3b9e4ce4a8e58d8069,f6e8d238ce6ea3d5,PRATO,2025-12-29,3,Win,334,Android,18,1,False,False,False,29
0e90edb72b9e656f930f,ef831a8aeb92d812,BARCO,2026-01-19,1,Win,84,iOS,18,1,False,False,False,19
3b8b988d281cc74651b1,53b7a4405edc3814,PLANO,2026-01-25,1,Win,313,Android,16,2,False,False,False,25
06ef2870c5e9e1415519,b2097590b6ed002a,CORVO,2026-01-14,1,Win,250,iOS,23,1,False,False,False,14
96429356293c5d37dbe0,f9486dabacfd48d9,TROCO,2026-02-09,2,Win,103,iOS,22,2,False,False,False,9
cf786233f2623e336123,fd942d86698392fe,GENRO,2026-01-12,3,Win,233,Android,20,1,False,False,False,12
a4bbf841c1dd1fb00040,d66aef24113ca92b,PRATO,2026-01-21,6,Lose,304,Android,22,5,False,False,False,21
f7500059c34402ed5ac6,79214fed491f4470,NUVEM,2026-04-10,1,Win,109,iOS,16,2,False,False,True,10
b43bde6721e401b3c248,e380ec1647a580fe,METAL,2026-01-23,3,Win,232,Android,21,1,False,False,True,23
2784a90fb0297d8541b1,2ab400247f41186a,METAL,2025-12-09,6,Lose,210,iOS,22,1,False,False,False,9
971a55af63bd4da4b31a,9147cd6410566a8a,VINHO,2026-04-01,3,Win,294,Android,20,2,True,False,True,1
db030133604bf48edd14,1702d9d57c7dadb8,NUVEM,2026-02-13,3,Win,467,Android,6,1,True,True,True,13
